SnomedCTConceptId,Term,Disease,Otherinstructions,origin
10528009,Lupus - tuberculous,Tuberculosis,,['Lauren_codelist']
10528009,Tuberculosis - lupus NOS,Tuberculosis,,['Lauren_codelist']
10528009,Tuberculosis - lupus exedens,Tuberculosis,,['Lauren_codelist']
10706006,Other specified tuberculosis of central nervous system,Tuberculosis,,['Lauren_codelist']
10706006,Tuberculosis of central nervous system NOS,Tuberculosis,,['Lauren_codelist']
10893003,Tuberculous adenitis,Tuberculosis,,['Lauren_codelist']
111830007,Tuberculosis of other urinary organs,Tuberculosis,,['Lauren_codelist']
111830007,Tuberculosis of urinary tract,Tuberculosis,,['Lauren_codelist']
111832004,Other primary progressive tuberculosis,Tuberculosis,,['Lauren_codelist']
11999007,Inactive tuberculosis,Tuberculosis,,['Lauren_codelist']
12137005,Tuberculosis of small intestine,Tuberculosis,,['Lauren_codelist']
14188007,Tuberculosis of hip,Tuberculosis,,['Lauren_codelist']
14527007,Tuberculous empyema,Tuberculosis,,['Lauren_codelist']
154283005,Other respiratory tuberculosis,Tuberculosis,,['Lauren_codelist']
154283005,Other specified pulmonary tuberculosis,Tuberculosis,,['Lauren_codelist']
154283005,Other specified respiratory tuberculosis,Tuberculosis,,['Lauren_codelist']
154283005,Other specified respiratory tuberculosis NOS,Tuberculosis,,['Lauren_codelist']
154283005,Pulmonary tuberculosis,Tuberculosis,,['Lauren_codelist']
154283005,Pulmonary tuberculosis NOS,Tuberculosis,,['Lauren_codelist']
154283005,"Tuberculosis of lung, confirmed by unspecified means",Tuberculosis,,['Lauren_codelist']
16409009,Tuberculosis of retroperitoneal lymph nodes,Tuberculosis,,['Lauren_codelist']
170525009,Notification of tuberculosis,Tuberculosis,,['Lauren_codelist']
170525009,TB - tuberculosis notification,Tuberculosis,,['Lauren_codelist']
17136009,Tuberculosis of knee,Tuberculosis,,['Lauren_codelist']
17653001,Tuberculosis of bones and joints,Tuberculosis,,['Lauren_codelist']
182975000,TB chemotherapy,Tuberculosis,,['Lauren_codelist']
186172004,Tuberculous pleurisy in primary progressive tuberculosis,Tuberculosis,,['Lauren_codelist']
186175002,Infiltrative lung tuberculosis,Tuberculosis,,['Lauren_codelist']
186177005,Tuberculosis of lung with cavitation,Tuberculosis,,['Lauren_codelist']
186178000,Tuberculosis of bronchus,Tuberculosis,,['Lauren_codelist']
186182003,Tuberculosis of pleura,Tuberculosis,,['Lauren_codelist']
