SnomedCTConceptId,Term,Disease,Otherinstructions,origin
161548009,H/O: urinary stone,Urolithiasis,,['Lauren_codelist']
168044006,O/E: uric acid renal calculus,Urolithiasis,,['Lauren_codelist']
168045007,O/E: cystine renal calculus,Urolithiasis,,['Lauren_codelist']
168051002,O/E - ureteric calculus,Urolithiasis,,['Lauren_codelist']
168052009,O/E - urethral calculus,Urolithiasis,,['Lauren_codelist']
168053004,O/E - bladder calculus,Urolithiasis,,['Lauren_codelist']
168053004,O/E - bladder calculus NOS,Urolithiasis,,['Lauren_codelist']
175951002,Nephroscopy and ultrasound lithotripsy of renal calculus,Urolithiasis,,['Lauren_codelist']
269915003,O/E - vesical oxalate calculus,Urolithiasis,,['Lauren_codelist']
269916002,O/E-vesical uric acid calculus,Urolithiasis,,['Lauren_codelist']
269917006,O/E-vesical phosphate calculus,Urolithiasis,,['Lauren_codelist']
287734006,Unspecified open removal of calculus from kidney,Urolithiasis,,['Lauren_codelist']
393072009,Extracorporeal fragmentation of renal calculus,Urolithiasis,,['Lauren_codelist']
393072009,Extracorporeal shockwave lithotripsy for renal calculus,Urolithiasis,,['Lauren_codelist']
