SnomedCTConceptId,Term,Disease,Otherinstructions,origin
11374003,Relaxation of pelvis,Uterovaginal Genital Prolapse,,['Lauren_codelist']
11597004,Uterine prolapse without vaginal wall prolapse,Uterovaginal Genital Prolapse,,['Lauren_codelist']
11597004,Uterine prolapse without vaginal wall prolapse NOS,Uterovaginal Genital Prolapse,,['Lauren_codelist']
13910004,Anterior and posterior colporrhaphy NEC,Uterovaginal Genital Prolapse,,['Lauren_codelist']
13910004,Anterior and posterior repair,Uterovaginal Genital Prolapse,,['Lauren_codelist']
171456005,Other specified repair of vault of vagina,Uterovaginal Genital Prolapse,,['Lauren_codelist']
171456005,Repair of vault of vagina,Uterovaginal Genital Prolapse,,['Lauren_codelist']
171456005,Repair of vault of vagina NOS,Uterovaginal Genital Prolapse,,['Lauren_codelist']
171456005,Repair of vault of vagina using abdominal approach NEC,Uterovaginal Genital Prolapse,,['Lauren_codelist']
171456005,Repair of vault of vagina using vaginal approach NEC,Uterovaginal Genital Prolapse,,['Lauren_codelist']
171456005,Suspension of vagina NEC,Uterovaginal Genital Prolapse,,['Lauren_codelist']
176697007,Colporrhaphy and amputation of cervix uteri,Uterovaginal Genital Prolapse,,['Lauren_codelist']
176697007,Repair of vaginal prolapse and amputation of cervix uteri,Uterovaginal Genital Prolapse,,['Lauren_codelist']
176699005,Posterior colporrhaphy and amputation of cervix uteri NEC,Uterovaginal Genital Prolapse,,['Lauren_codelist']
176716008,Sacrocolpopexy,Uterovaginal Genital Prolapse,,['Lauren_codelist']
176725002,Insertion of Hodge pessary into vagina,Uterovaginal Genital Prolapse,,['Lauren_codelist']
176726001,Insertion of ring pessary into vagina,Uterovaginal Genital Prolapse,,['Lauren_codelist']
18973006,"Uterovaginal prolapse, unspecified",Uterovaginal Genital Prolapse,,['Lauren_codelist']
198268002,"Uterovaginal prolapse, incomplete",Uterovaginal Genital Prolapse,,['Lauren_codelist']
198278004,Weakening of pelvic fundus,Uterovaginal Genital Prolapse,,['Lauren_codelist']
227981000000105,Paravaginal repair,Uterovaginal Genital Prolapse,,['Lauren_codelist']
236857000,Colpoperineorrhaphy,Uterovaginal Genital Prolapse,,['Lauren_codelist']
236859002,Sacrospinous fixation of vaginal vault,Uterovaginal Genital Prolapse,,['Lauren_codelist']
236865002,Removal of ring pessary from vagina,Uterovaginal Genital Prolapse,,['Lauren_codelist']
238034001,Colporrhaphy,Uterovaginal Genital Prolapse,,['Lauren_codelist']
238034001,Other repair of vaginal prolapse,Uterovaginal Genital Prolapse,,['Lauren_codelist']
238034001,Other repair of vaginal prolapse NOS,Uterovaginal Genital Prolapse,,['Lauren_codelist']
238034001,Other specified other repair of vaginal prolapse,Uterovaginal Genital Prolapse,,['Lauren_codelist']
