SnomedCTConceptId,Term,Disease,Otherinstructions,origin
228152009,Bathing disability,Washing & bathing problems,,['efi']
284787001,Unable to wash self,Washing & bathing problems,,['efi']
284790007,Difficulty washing self,Washing & bathing problems,,['efi']
284796001,Difficulty showering self,Washing & bathing problems,,['efi']
284799008,Unab perform bathing activity,Washing & bathing problems,,['efi']
284802004,Diff perform bathing activity,Washing & bathing problems,,['efi']
284804003,Unable to bath self,Washing & bathing problems,,['efi']
284807005,Difficulty bathing self,Washing & bathing problems,,['efi']
284829009,Unable to dry self,Washing & bathing problems,,['efi']
284832007,Difficulty drying self,Washing & bathing problems,,['efi']
288549002,Unable perform wash/dry activ,Washing & bathing problems,,['efi']
288552005,Diffic perform wash/dry activ,Washing & bathing problems,,['efi']
301504006,Unable to get in and out of shower,Washing & bathing problems,,['efi']
301510006,Unable to get into shower,Washing & bathing problems,,['efi']
301517009,Unable to get out of shower,Washing & bathing problems,,['efi']
301523004,Unable to get in and out of bath,Washing & bathing problems,,['efi']
301529000,Unable to get in bath,Washing & bathing problems,,['efi']
301535000,Unable to get out of bath,Washing & bathing problems,,['efi']
