SnomedCTConceptId,Term,Disease,Otherinstructions,origin
13791008,Weakness - general,Weakness,,['efi']
162236007,Weakness present,Weakness,,['efi']
249934009,"Facial weakness, upper motor neurone",Weakness,,['efi']
249939004,Proximal muscle weakness,Weakness,,['efi']
249940002,Shoulder girdle weakness,Weakness,,['efi']
249941003,Pelvic girdle weakness,Weakness,,['efi']
249942005,Distal muscle weakness,Weakness,,['efi']
249943000,Weakness of distal arms and legs,Weakness,,['efi']
298281008,Upper facial weakness,Weakness,,['efi']
299042006,Weakness of hand,Weakness,,['efi']
299471001,Weakness of foot,Weakness,,['efi']
713514005,Weakness of limb,Weakness,,['efi']
95666008,Weakness of face muscles,Weakness,,['efi']
