Deficit,SNOMEDCT_CONCEPTID,CTV3,Provenance,Codedescription,TimeConstraintyears,AgeLimit,Otherinstructions
Abdominal pain,162031009,195..,efi-abdominal_pain,Indigestion symptoms,5,,
Abdominal pain,16331000,1955,efi-abdominal_pain,Heartburn,5,,
Abdominal pain,247358007,196..,efi-abdominal_pain,Type of GIT pain (& [abdominal pain] or [symptom]),5,,
Abdominal pain,270477000,196..,efi-abdominal_pain,Type of GIT pain (& [abdominal pain] or [symptom]),5,,
Abdominal pain,162038003,1963,efi-abdominal_pain,Non-colicky abdominal pain,5,,
Abdominal pain,162039006,1964,efi-abdominal_pain,Shoulder pain from abdomen,5,,
Abdominal pain,43364001,1968,efi-abdominal_pain,Abdominal discomfort,5,,
Abdominal pain,21522001,1969,efi-abdominal_pain,Abdominal pain,5,,
Abdominal pain,162042000,19690,efi-abdominal_pain,Abdominal wall pain,5,,
Abdominal pain,247353003,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,
Abdominal pain,247355005,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,
Abdominal pain,247354009,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,
Abdominal pain,267050002,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,
Abdominal pain,247352008,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,
Abdominal pain,162046002,1971,efi-abdominal_pain,Central abdominal pain,5,,
Abdominal pain,79922009,1972,efi-abdominal_pain,Epigastric pain,5,,
Abdominal pain,162051008,1977,efi-abdominal_pain,Right iliac fossa pain,5,,
Abdominal pain,162052001,1978,efi-abdominal_pain,Left iliac fossa pain,5,,
Abdominal pain,162053006,1979,efi-abdominal_pain,Suprapubic pain,5,,
Abdominal pain,102614006,197A.,efi-abdominal_pain,Generalised abdominal pain,5,,
Abdominal pain,83132003,197B.,efi-abdominal_pain,Upper abdominal pain,5,,
Abdominal pain,54586004,197C.,efi-abdominal_pain,Lower abdominal pain,5,,
Abdominal pain,268941000,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,
Abdominal pain,163218001,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,
Abdominal pain,308903002,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,
Abdominal pain,275315004,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,
Abdominal pain,275316003,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,
Abdominal pain,163214004,25C2.,efi-abdominal_pain,O/E - abd.pain-R.hypochondrium,5,,
Abdominal pain,163215003,25C3.,efi-abdominal_pain,O/E - abd. pain - epigastrium,5,,
Abdominal pain,163216002,25C4.,efi-abdominal_pain,O/E - abd.pain-L.hypochondrium,5,,
Abdominal pain,163217006,25C5.,efi-abdominal_pain,O/E - abd. pain - R.lumbar,5,,
Abdominal pain,163219009,25C7.,efi-abdominal_pain,O/E - abd. pain - L.lumbar,5,,
Abdominal pain,163220003,25C8.,efi-abdominal_pain,O/E - abd. pain - R.iliac,5,,
Abdominal pain,163221004,25C9.,efi-abdominal_pain,O/E - abd. pain - hypogastrium,5,,
Abdominal pain,163222006,25CA.,efi-abdominal_pain,O/E - abd. pain - L.iliac,5,,
Abdominal pain,235595009,J1011,efi-abdominal_pain,Acid reflux &/or oesophagitis,5,,
Abdominal pain,266433003,J1011,efi-abdominal_pain,Acid reflux &/or oesophagitis,5,,
Abdominal pain,57643001,J1011,efi-abdominal_pain,Acid reflux &/or oesophagitis,5,,
Abdominal pain,249511005,J16y4,efi-abdominal_pain,Dyspepsia (& [flatulent] or [NOS]),5,,
Abdominal pain,9991008,R0901,efi-abdominal_pain,[D]Abdominal colic,5,,
Abdominal pain,88522004,R0906,efi-abdominal_pain,[D]Umbilical pain,5,,
Abdominal pain,271853005,R0907,efi-abdominal_pain,[D]Hypochondrial pain,5,,
Abdominal pain,478711000000102,Ryu11,efi-abdominal_pain,[X]Other and unspecified abdominal pain,5,,
Abdominal pain,235841007,X3062,efi-abdominal_pain,Chronic nonspecific abdominal pain,5,,
Abdominal pain,274289007,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,
Abdominal pain,274287009,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,
